description,img_url,name
,,
Business,,
"Stefan Tsvetkov, MS Financial Engineering, will explore the state of valuations in U.S. private residential real estate, by means of internally derived metrics and external vendor reports. Event Start Time: 6:30PM",https://secure-content.meetupstatic.com/images/classic-events/490992991/250x140.webp,US Real Estate Post 2020 Recession
Everyone is talking about investing in Real Estate NOTES but what are they? Join us we dive right into them! Event Start Time: 7:00PM,https://secure-content.meetupstatic.com/images/classic-events/491120964/220x140.webp,Investing in Real Estate
"Have you ever wanted to meet and learn from the top investors in the state? If yes, then this is an event not to miss! At this one day expo, the TOP local wholesalers, fix and flip, cashflow and commercial investors will be sharing with us what is working and not working in today's market! Event Start Time: 9:00AM",https://secure-content.meetupstatic.com/images/classic-events/489331261/220x140.webp,Real Estate Investors Expo
Just want to get a chance to meet everyone who joined and start with some basics of note investing. From 6:00PM to 8:00PM,https://secure-content.meetupstatic.com/images/classic-events/491441513/220x140.webp,Generational Wealth
,,
Entertainment,,
Marvel and DC Comics have dominated the comic-book and movies industries for over 6 decades. Which of the two fiction universes do you prefer? Check out our teams of debaters to find out which universe wins! From 6:00PM to 8:00PM,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101514872%2F402426534917%2F1%2Foriginal.20200521-100107?w=1080&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C38%2C1200%2C600&s=fdc6bf7e113080bdb6cb2541e3e5d8ec,Marvel Comics vs DC Comics
"We meet play, sing, and chill. There will be drums and keys there so bring your guitar, horn, voice, etc From 8:00PM to 10:00PM",https://secure-content.meetupstatic.com/images/classic-events/474704456/220x140.webp,Musician Network & Jam Session
"Synopsis: A tale of intrigue and arms set in ancient China. To finally achieve victory over a rival kingdom, a general devises an intricate political deception involving his wife, a secret look-alike, and two kings. New members are of course welcome to join. From 7:00PM to 10:00PM",https://secure-content.meetupstatic.com/images/classic-events/491532537/220x140.webp,Shadow @ Netflix Party
"New room. No theme other than if you've had something bottled up come and let it out. If you just wanna sing a tune, nothing fancy that's why we're back too. From 7:00PM to 10:00PM",https://secure-content.meetupstatic.com/images/classic-events/490525286/220x140.webp,The Return of Quarantine Karaoke
,,
 Charity & Causes,,
"We'll discuss what we learned about what our individual states have planned in the area of reparation bills, considerations, etc. Please RSVP if you plan to attend. Look forward to seeing you then! From 10:00AM to 12:00PM",https://secure-content.meetupstatic.com/images/classic-events/490742785/220x140.webp,BLM Group for White Allies
"We are delighted to welcome Paul Gambill who is the CEO of Nori, which is a carbon removal marketplace creating a new way for anyone in the world to pay to remove excess carbon dioxide from the atmosphere. From 6:00PM to 8:00PM",https://secure-content.meetupstatic.com/images/classic-events/490608515/220x140.webp,Carbon Removal Meetup 
,,
,,
Tech,,
The course will provide a solid foundation using current programming methods. Users can expect to learn best practices for Python so they can make their programs cleaner and more maintainable. From 5:30pm-9:30pm,https://secure-content.meetupstatic.com/images/classic-events/491143348/220x140.webp,Rock Solid Python for Beginners
"Join us for a Coffee & Code on Saturday, August 15th from 9:00am - 12:00pm!",https://secure-content.meetupstatic.com/images/classic-events/488056858/220x140.webp,Coffee & Code
Reaching out to presenters now. Will email you all when presentation finalized! From 6:00PM to 8:00PM,https://secure-content.meetupstatic.com/images/classic-events/475324044/220x140.webp,Power Platform Monthly Meeting
"For those that aren't familiar with it, Quantified Self is an international community of users and makers of self-tracking tools who share an interest in “self-knowledge through numbers.” RSVP Now! Event Start Time: 6:30PM",https://secure-content.meetupstatic.com/images/classic-events/490459877/220x140.webp,Quantified Self Meetup
Meet one of Galvanize’s recent graduates and hear their perspective about the Data Science program! 6:00PM to 7:00PM,https://secure-content.meetupstatic.com/images/classic-events/491426309/220x140.webp,Data Science Meetup
,,
Health & Wellness,,
The WPM is a unique opportunity to be a channel of transformation for the Earth and humanity in this transitional time. The purpose behind the WPM is to expand the vibration of peace in the collective consciousness so that Truth Consciousness can manifest and the current cycle of evolution can continue to unfold. From 8:30 PM to 9:30 PM,https://secure-content.meetupstatic.com/images/classic-events/491455794/220x140.webp,World Peace Meditation
This class offers you unique tips and techniques to deepen your meditation practice. From 6:00PM to 7:00PM,https://secure-content.meetupstatic.com/images/classic-events/491534958/220x140.webp,Meditation Practice